Continent,Code,Year,Total deaths from malignant neoplasms among both sexes,Population
Africa,,2000,468891,830582806
Africa,,2001,481239,851690329
Africa,,2002,495890,873411364
Africa,,2003,506219,895734453
Africa,,2004,519556,918778450
Africa,,2005,531856,942546623
Africa,,2006,543533,966932346
Africa,,2007,556172,992055831
Africa,,2008,571938,1018065513
Africa,,2009,589451,1044777740
Africa,,2010,612615,1072216718
Africa,,2011,630604,1100148882
Africa,,2012,654250,1128843697
Africa,,2013,671851,1158780551
Africa,,2014,695375,1189220573
Africa,,2015,720951,1220075728
Africa,,2016,744172,1251208654
Africa,,2017,765041,1282902302
Africa,,2018,787624,1315409965
Africa,,2019,810322,1348005687
Africa,,2020,754979,1380821355
Africa,,2021,740754,1413753270
Asia,,2000,3495870,3746832774
Asia,,2001,3580432,3797954098
Asia,,2002,3663150,3847359676
Asia,,2003,3764248,3895799452
Asia,,2004,3870075,3944378409
Asia,,2005,3941548,3992890562
Asia,,2006,3941167,4041771421
Asia,,2007,4002692,4090564354
Asia,,2008,4104084,4139267473
Asia,,2009,4189184,4188829442
Asia,,2010,4305690,4238694946
Asia,,2011,4388669,4288349990
Asia,,2012,4464999,4338443549
Asia,,2013,4550405,4387757389
Asia,,2014,4630756,4435744582
Asia,,2015,4752092,4482088478
Asia,,2016,4882480,4527178156
Asia,,2017,4992670,4571224662
Asia,,2018,5134465,4612352863
Asia,,2019,5284710,4651098712
Asia,,2020,5350151,4686811205
Asia,,2021,5673402,4716999175
Europe,,2000,1739211,729112155
Europe,,2001,1745431,729202129
Europe,,2002,1752104,730108231
Europe,,2003,1757772,731376242
Europe,,2004,1749996,732264288
Europe,,2005,1755364,733082921
Europe,,2006,1749116,733738758
Europe,,2007,1759332,734969351
Europe,,2008,1781784,736640719
Europe,,2009,1789356,738045338
Europe,,2010,1807188,739273391
Europe,,2011,1817349,740505908
Europe,,2012,1833974,741624513
Europe,,2013,1833284,742654890
Europe,,2014,1851522,743842712
Europe,,2015,1857461,745456775
Europe,,2016,1874265,747240427
Europe,,2017,1881577,748683743
Europe,,2018,1898006,749835851
Europe,,2019,1898873,750791010
Europe,,2020,1908602,750826495
Europe,,2021,1890932,749931027
North America,,2000,735225,485805119
North America,,2001,740042,491432288
North America,,2002,747623,497028237
North America,,2003,752574,502587581
North America,,2004,753092,508166865
North America,,2005,762663,513798973
North America,,2006,766072,519545237
North America,,2007,773413,525495111
North America,,2008,782570,531569985
North America,,2009,787272,537617445
North America,,2010,799504,543593306
North America,,2011,804222,549552423
North America,,2012,816280,555486379
North America,,2013,820793,561345646
North America,,2014,835357,567078661
North America,,2015,844328,572637311
North America,,2016,854034,578186325
North America,,2017,859312,583669315
North America,,2018,861639,589049568
North America,,2019,871309,594346833
North America,,2020,876896,598250660
North America,,2021,877965,600876352
Oceania,,2000,47696,31352964
Oceania,,2001,48926,31847231
Oceania,,2002,49688,32366012
Oceania,,2003,50042,32894562
Oceania,,2004,51179,33419057
Oceania,,2005,51925,33956166
Oceania,,2006,53412,34540357
Oceania,,2007,53793,35190038
Oceania,,2008,55664,35890356
Oceania,,2009,55355,36593542
Oceania,,2010,57277,37254081
Oceania,,2011,58734,37890092
Oceania,,2012,59328,38550533
Oceania,,2013,60666,39233928
Oceania,,2014,61293,39918740
Oceania,,2015,63719,40615011
Oceania,,2016,63695,41347228
Oceania,,2017,64968,42093978
Oceania,,2018,66641,42815507
Oceania,,2019,69584,43504533
Oceania,,2020,68445,44079302
Oceania,,2021,70546,44558538
South America,,2000,314698,348018740
South America,,2001,318917,352811862
South America,,2002,328063,357458484
South America,,2003,338654,361970821
South America,,2004,346336,366372163
South America,,2005,355170,370696354
South America,,2006,361267,374925359
South America,,2007,369406,379035649
South America,,2008,378798,383025005
South America,,2009,388624,386904373
South America,,2010,399319,390701115
South America,,2011,406337,394477911
South America,,2012,417673,398255314
South America,,2013,424871,402022549
South America,,2014,435806,405812430
South America,,2015,446998,409619968
South America,,2016,458498,413395033
South America,,2017,467466,417045358
South America,,2018,478684,420440406
South America,,2019,497025,423548289
South America,,2020,478092,426213551
South America,,2021,487741,428331420
